id,user_type/id,code,company_id/id,type,name,currency_mode,parent_id/id
__export__.account_account_1980000,account.data_account_type_payable,2011400,__export__.res_company_2,Regular,Accrued Expenses,At Date,__export__.account_account_1840000
__export__.account_account_3730000,account.data_account_type_payable,2011401,__export__.res_company_2,Regular,Rent & Lease Payable,At Date,__export__.account_account_1840000
__export__.account_account_3760000,account.data_account_type_payable,2011500,__export__.res_company_2,Regular,Other Employee Benefit  Payable,At Date,__export__.account_account_1840000
__export__.account_account_3770000,account.data_account_type_payable,2011700,__export__.res_company_2,Regular,Under Recoveries Payable,At Date,__export__.account_account_1840000
__export__.account_account_3780000,account.data_account_type_payable,2011800,__export__.res_company_2,Regular,BOST PDM Payable,At Date,__export__.account_account_1840000
__export__.account_account_3790000,account.data_account_type_payable,2011801,__export__.res_company_2,Regular,BOST MARGIN Payable,At Date,__export__.account_account_1840000
__export__.account_account_3500000,account.data_account_type_payable,2011600,__export__.res_company_2,Regular,Staff PAYE Payable,At Date,__export__.account_account_1840000
__export__.account_account_3740000,account.data_account_type_payable,2011601,__export__.res_company_2,Regular,SSF Payable,At Date,__export__.account_account_1840000
__export__.account_account_4280000,account.data_account_type_payable,2011607,__export__.res_company_2,Regular,Staff Salaries Payable,At Date,__export__.account_account_1840000
__export__.account_account_4350000,account.data_account_type_payable,2011608,__export__.res_company_2,Regular,Staff Welfare Payable,At Date,__export__.account_account_1840000
__export__.account_account_4640000,account.data_account_type_payable,2011609,__export__.res_company_2,Regular,Interest Surcharge,At Date,__export__.account_account_1840000
__export__.account_account_3750000,account.data_account_type_payable,2011602,__export__.res_company_2,Payable,TOR Services Payable,At Date,__export__.account_account_1840000
__export__.account_account_3870000,account.data_account_type_payable,2011603,__export__.res_company_2,Payable,Demurrage Payable,At Date,__export__.account_account_1840000
__export__.account_account_4160000,account.data_account_type_payable,2011604,__export__.res_company_2,Payable,Fuel Marking Margin Payable,At Date,__export__.account_account_1840000
__export__.account_account_4330000,account.data_account_type_payable,2011605,__export__.res_company_2,Payable,BOST Throughput Payable,At Date,__export__.account_account_1840000
__export__.account_account_2020000,account.account_type_liability_view1,2020000,__export__.res_company_2,View,Long Term,At Date,__export__.account_account_1820000
__export__.account_account_2030000,account.data_account_type_payable,2022000,__export__.res_company_2,Regular,Director's Current Account ,At Date,__export__.account_account_2020000
__export__.account_account_3710000,account.data_account_type_payable,2022001,__export__.res_company_2,Regular,Director's Current Account-FG ,At Date,__export__.account_account_2020000
__export__.account_account_2000000,account.data_account_type_view,2021000,__export__.res_company_2,View,Hedge Liability,At Date,__export__.account_account_2020000
__export__.account_account_2010000,account.data_account_type_payable,2021001,__export__.res_company_2,Payable,Petro Gulf U.A.E ,At Date,__export__.account_account_2000000
__export__.account_account_4090000,account.account_type_liability_view1,2023000,__export__.res_company_2,View,Bank Loans,At Date,__export__.account_account_1820000
__export__.account_account_3720000,account.data_account_type_payable,2022002,__export__.res_company_2,Regular,Bank Loans,At Date,__export__.account_account_4090000
__export__.account_account_4100000,account.data_account_type_payable,2023001,__export__.res_company_2,Regular,EBG Bank Loans GHS,At Date,__export__.account_account_4090000
__export__.account_account_4130000,account.data_account_type_payable,2023003,__export__.res_company_2,Regular,HFC Bank Loans GHS,At Date,__export__.account_account_4090000
__export__.account_account_4110000,account.data_account_type_payable,2023002,__export__.res_company_2,Regular,EBG Bank Loans USD,At Date,__export__.account_account_4090000
__export__.account_account_4310000,account.data_account_type_payable,2023010,__export__.res_company_2,Regular,FAB Loans USD,At Date,__export__.account_account_4090000
__export__.account_account_4190000,account.data_account_type_payable,2023004,__export__.res_company_2,Regular,UT Bank Loans,At Date,__export__.account_account_4090000
__export__.account_account_4200000,account.data_account_type_payable,2023005,__export__.res_company_2,Regular,SG SSB Bank Loans,At Date,__export__.account_account_4090000
__export__.account_account_4210000,account.data_account_type_payable,2023006,__export__.res_company_2,Regular,SCB Bank Loans,At Date,__export__.account_account_4090000
__export__.account_account_4220000,account.data_account_type_payable,2023007,__export__.res_company_2,Regular,Zenith Bank Loans,At Date,__export__.account_account_4090000
__export__.account_account_4230000,account.data_account_type_payable,2023008,__export__.res_company_2,Regular,UniBank Loans,At Date,__export__.account_account_4090000
__export__.account_account_4260000,account.data_account_type_payable,2023009,__export__.res_company_2,Regular,GT Bank Loans,At Date,__export__.account_account_4090000
__export__.account_account_2040000,account.data_account_type_view,3000000,__export__.res_company_2,View,Equity and Reserves,At Date,__export__.account_account_20000
__export__.account_account_2080000,account.conf_account_type_equity,3010000,__export__.res_company_2,View,Equity,At Date,__export__.account_account_2040000
__export__.account_account_2090000,account.conf_account_type_equity,3010001,__export__.res_company_2,Regular,Stated Capital,At Date,__export__.account_account_2080000
__export__.account_account_2060000,account.conf_account_type_equity,3010002,__export__.res_company_2,Regular,Deposit for Shares,At Date,__export__.account_account_2080000
__export__.account_account_2100000,account.conf_account_type_equity,3020000,__export__.res_company_2,View,Reserves,At Date,__export__.account_account_2040000
__export__.account_account_2110000,account.conf_account_type_equity,3020001,__export__.res_company_2,Regular,Prior Year Results,At Date,__export__.account_account_2100000
__export__.account_account_2120000,account.conf_account_type_equity,3020002,__export__.res_company_2,Regular,Current Year Results,At Date,__export__.account_account_2100000
__export__.account_account_3100000,account.conf_account_type_equity,9000000,__export__.res_company_2,Regular,Suspense Accounts,At Date,__export__.account_account_2100000
__export__.account_account_170000,account.data_account_type_view,2,__export__.res_company_2,View,Profit and Loss,At Date,__export__.account_account_10000
__export__.account_account_180000,account.account_type_income_view1,4000000,__export__.res_company_2,View,Revenue,At Date,__export__.account_account_170000
__export__.account_account_190000,account.account_type_income_view1,4010000,__export__.res_company_2,View,Product Sales,At Date,__export__.account_account_180000
__export__.account_account_2130000,account.data_account_type_income,4010001,__export__.res_company_2,Regular,Sales - Gasoline,At Date,__export__.account_account_190000
__export__.account_account_2140000,account.data_account_type_income,4010002,__export__.res_company_2,Regular,Sales -Gas Oil Regular,At Date,__export__.account_account_190000
__export__.account_account_2150000,account.data_account_type_income,4010003,__export__.res_company_2,Regular,Sales -Premix ,At Date,__export__.account_account_190000
__export__.account_account_2160000,account.data_account_type_income,4010004,__export__.res_company_2,Regular,Sales -NAPHTHA ,At Date,__export__.account_account_190000
__export__.account_account_2170000,account.data_account_type_income,4010005,__export__.res_company_2,Regular,Sales -Crude Oil ,At Date,__export__.account_account_190000
__export__.account_account_2180000,account.data_account_type_income,4010006,__export__.res_company_2,Regular,Sales -LIGHT GASOLINE ,At Date,__export__.account_account_190000
__export__.account_account_2190000,account.data_account_type_income,4010007,__export__.res_company_2,Regular,Sales -LPG ,At Date,__export__.account_account_190000
__export__.account_account_2200000,account.data_account_type_income,4010008,__export__.res_company_2,Regular,Sales - ATK,At Date,__export__.account_account_190000
__export__.account_account_2210000,account.data_account_type_income,4010009,__export__.res_company_2,Regular,Sales -RFO ,At Date,__export__.account_account_190000
__export__.account_account_2220000,account.data_account_type_income,4010010,__export__.res_company_2,Regular,Sales-Kerosene ,At Date,__export__.account_account_190000
__export__.account_account_2540000,account.data_account_type_income,4010011,__export__.res_company_2,Regular,Sales - Marine Gas Oil Local,At Date,__export__.account_account_190000
__export__.account_account_2550000,account.data_account_type_income,4010012,__export__.res_company_2,Regular,Sales - Gasoil Mines,At Date,__export__.account_account_190000
__export__.account_account_2230000,account.account_type_income_view1,4020000,__export__.res_company_2,View,Ex Ref – Various Products,At Date,__export__.account_account_180000
__export__.account_account_2240000,account.data_account_type_income,4020001,__export__.res_company_2,Regular,Ex Ref -Gasoline,At Date,__export__.account_account_2230000
__export__.account_account_2250000,account.data_account_type_income,4020002,__export__.res_company_2,Regular,Ex Ref -Gasoil Regular ,At Date,__export__.account_account_2230000
