"id","name","type","capacity","departement","location"
"machine_pressure_tangki","Pressure Tangki",,,"Produksi Injeksi","Ruang Pengujian Filter"
"machine_laminair_air_flow","Laminair Air Flow",,"mobile","Produksi Injeksi","Ruang Penyimpanan Alat Bantu"
"machine_pressure_tangki","Pressure Tangki",,,"Produksi Injeksi","Ruang Penyimpanan Alat Bantu"
"machine_pressure_tangki","Pressure Tangki",,,"Produksi Injeksi","Ruang Penyimpanan Alat Bantu"
"machine_pressure_tangki","Pressure Tangki",,,"Produksi Injeksi","Ruang Penyimpanan Alat Bantu"
"machine_pressure_tangki","Pressure Tangki",,,"Produksi Injeksi","Ruang Penyimpanan Alat Bantu"
"machine_pressure_tangki","Pressure Tangki",,,"Produksi Injeksi","Ruang Penyimpanan Alat Bantu"
"machine_alat_penyusunan_ampul_shun_yi","Alat Penyusunan Ampul Shun Yi",,,"Produksi Injeksi","Ruang Penyusunan Ampul"
"machine_laminair_air_flow","Laminair Air Flow",,"geser/mobile","Produksi Injeksi","Ruang Produksi Injeksi"
"machine_mesin_oven_echung_kecil","Mesin Oven Echung Kecil","ECHS-18K","Kecil","Produksi Injeksi","Ruang Produksi Injeksi"
"machine_mesin_oven_echung_besar","Mesin Oven Echung Besar","ECHS-85","Besar","Produksi Injeksi","Ruang Produksi Injeksi"
"machine_laf_mobile","LAF Mobile",,"170x80x180","Produksi Injeksi","Ruang Staging Produk Steril"
"machine_laminair_air_flow","Laminair Air Flow",,,"Produksi Injeksi","Ruang Staging Produk Steril"
"machine_mesin_autoclave_echung","Mesin Autoclave Echung","APRS8180",,"Produksi Injeksi","Ruang Staging Produk Steril"
"machine_mixing_tank_50_ltr","Mixing Tank 50 Ltr",,"50 Ltr","Produksi Injeksi","Ruang Staging Produk Steril"
"machine_pressure_tangki","Pressure Tangki",,,"Produksi Injeksi","Ruang Staging Produk Steril"
"machine_laminair_air_flow","Laminair Air Flow",,"mobile","Produksi Injeksi","Ruang Timbang"
"machine_timbangan_mettler_toledo_0.1-30_kg","Timbangan Mettler Toledo 0.1-30 Kg","IND221","0.1-30 Kg","Produksi Injeksi","Ruang Timbang"
"machine_timbangan_mettler_toledo_kecil","Timbangan Mettler Toledo Kecil","kecil",,"Produksi Injeksi","Ruang Timbang"
"machine_laminair_air_flow","Laminair Air Flow",,"mobile","Produksi Injeksi","Ruang Vial 1"
"machine_mesin_vial_shun_yi","Mesin Vial Shun Yi",,"10-20 Ml","Produksi Injeksi","Ruang Vial 1"
"machine_mesin_timbang_mettler_toledo","Mesin Timbang Mettler Toledo","IND221","60 Kg","Produksi Kapsul","Koridor"
"machine_alat_timbang_mettler_toledo","Alat Timbang Mettler Toledo","AL-204","210 Gr","Produksi Kapsul","Ruang IPC"
"machine_mesin_filling_kapsul_chin_yi","Mesin Filling Kapsul Chin Yi","ACF-50",,"Produksi Kapsul","Ruang Kapsul 1"
"machine_vacum_cleaner_nilfisk","Vacum Cleaner Nilfisk","alto aerozo",,"Produksi Kapsul","Ruang Kapsul 1"
"machine_mesin_filling_kapsul_chin_yi","Mesin Filling Kapsul Chin Yi","ACF-20",,"Produksi Kapsul","Ruang Kapsul 2"
"machine_mesin_stripping_wutzan","Mesin Stripping Wutzan",,,"Produksi Kapsul","Ruang Kapsul 2"
"machine_mesin_filling_capsule_kwang_dah","Mesin Filling Capsule Kwang Dah","KDF-6",,"Produksi Kapsul","Ruang Kapsul 3"
"machine_mesin_stripping_siebler","Mesin Stripping Siebler","90-3",,"Produksi Kapsul","Ruang Kapsul 4"
"machine_mesin_filling_blister_duan_kwei","Mesin Filling Blister Duan Kwei","DK-PS40a","Blister Pack","Produksi Kapsul","Ruang Kapsul 5"
"machine_counting_manual","Counting Manual",,"200 Pc","Produksi Kapsul","Ruang Kapsul 6"
"machine_mesin_counting_kwang_dah","Mesin Counting Kwang Dah",,,"Produksi Kapsul","Ruang Kapsul 6"
"machine_mesin_seal","Mesin Seal",,"30 cm","Produksi Kapsul","Ruang Kapsul 6"
"machine_mesin_timbang_precisa","Mesin Timbang Precisa","XB4200c","4200 Gr","Produksi Kapsul","Ruang Kapsul 6"
