id,name,description,allowed
region1,BANTEN,BANTEN,
region2,DKI,DKI JAKARTA,
region3,JABAR,JAWA BARAT,
region4,JATENG,JAWA TENGAH,
region5,JATIM,JAWA TIMUR,
region6,KALTIM,KALIMANTAN TIMUR,
region7,PABAR,PAPUA BARAT,
region8,RIAU,RIAU,
region9,SULSEL,SULAWESI SELATAN,
region10,SUMSEL,SUMATERA SELATAN,
region11,SUMUT,SUMATERA UTARA,
