"id","name","location_id","usage"
"physical_locations__gba__stock_area_penyimpanan_bahan_baku_liquid","Area Penyimpanan Bahan Baku Liquid","Physical Locations / GBA / Stock","View"
"physical_locations__gba__stock__area_penyimpanan_bahan_baku_liquid_palet_a1","Palet A1","Physical Locations / GBA / Stock / Area Penyimpanan Bahan Baku Liquid","Internal Location"
"physical_locations__gba__stock__area_penyimpanan_bahan_baku_liquid_palet_a2","Palet A2","Physical Locations / GBA / Stock / Area Penyimpanan Bahan Baku Liquid","Internal Location"
"physical_locations__gba__stock__area_penyimpanan_bahan_baku_liquid_palet_a3","Palet A3","Physical Locations / GBA / Stock / Area Penyimpanan Bahan Baku Liquid","Internal Location"
"physical_locations__gba__stock__area_penyimpanan_bahan_baku_liquid_palet_a4","Palet A4","Physical Locations / GBA / Stock / Area Penyimpanan Bahan Baku Liquid","Internal Location"
"physical_locations__gba__stock__area_penyimpanan_bahan_baku_liquid_palet_b1","Palet B1","Physical Locations / GBA / Stock / Area Penyimpanan Bahan Baku Liquid","Internal Location"
"physical_locations__gba__stock__area_penyimpanan_bahan_baku_liquid_palet_b2","Palet B2","Physical Locations / GBA / Stock / Area Penyimpanan Bahan Baku Liquid","Internal Location"
"physical_locations__gba__stock__area_penyimpanan_bahan_baku_liquid_palet_b3","Palet B3","Physical Locations / GBA / Stock / Area Penyimpanan Bahan Baku Liquid","Internal Location"
"physical_locations__gba__stock__area_penyimpanan_bahan_baku_liquid_palet_b4","Palet B4","Physical Locations / GBA / Stock / Area Penyimpanan Bahan Baku Liquid","Internal Location"
"physical_locations__gba__stock__area_penyimpanan_bahan_baku_liquid_palet_c1","Palet C1","Physical Locations / GBA / Stock / Area Penyimpanan Bahan Baku Liquid","Internal Location"
"physical_locations__gba__stock__area_penyimpanan_bahan_baku_liquid_palet_c2","Palet C2","Physical Locations / GBA / Stock / Area Penyimpanan Bahan Baku Liquid","Internal Location"
"physical_locations__gba__stock__area_penyimpanan_bahan_baku_liquid_palet_c3","Palet C3","Physical Locations / GBA / Stock / Area Penyimpanan Bahan Baku Liquid","Internal Location"
"physical_locations__gba__stock__area_penyimpanan_bahan_baku_liquid_palet_c4","Palet C4","Physical Locations / GBA / Stock / Area Penyimpanan Bahan Baku Liquid","Internal Location"
"physical_locations__gba__stock__area_penyimpanan_bahan_baku_liquid_palet_d1","Palet D1","Physical Locations / GBA / Stock / Area Penyimpanan Bahan Baku Liquid","Internal Location"
"physical_locations__gba__stock__area_penyimpanan_bahan_baku_liquid_palet_d2","Palet D2","Physical Locations / GBA / Stock / Area Penyimpanan Bahan Baku Liquid","Internal Location"
"physical_locations__gba__stock__area_penyimpanan_bahan_baku_liquid_palet_d3","Palet D3","Physical Locations / GBA / Stock / Area Penyimpanan Bahan Baku Liquid","Internal Location"
"physical_locations__gba__stock__area_penyimpanan_bahan_baku_liquid_palet_d4","Palet D4","Physical Locations / GBA / Stock / Area Penyimpanan Bahan Baku Liquid","Internal Location"
"physical_locations__gba__stock__area_penyimpanan_bahan_baku_liquid_palet_d5","Palet D5","Physical Locations / GBA / Stock / Area Penyimpanan Bahan Baku Liquid","Internal Location"
