External ID,Kode,Tahun Akademik,Type Pembayaran,Fakultas,Program Studi,Bayar jika tambah SKS,Pembayaran/Semester,Pembayaran/Pembayaran
template_12,Farmasi S1 2014,2014,Flat,FMIPA,Farmasi S1,FALSE,1,"Uang Kuliah Farmasi S1,Uang Bangunan Farmasi S1"
,,,,,,,2,Uang Kuliah Farmasi S1
,,,,,,,3,Uang Kuliah Farmasi S1
,,,,,,,4,Uang Kuliah Farmasi S1
,,,,,,,5,Uang Kuliah Farmasi S1
,,,,,,,6,Uang Kuliah Farmasi S1
,,,,,,,7,Uang Kuliah Farmasi S1
,,,,,,,8,Uang Kuliah Farmasi S1
template_13,Profesi Apoteker 2014,2014,Flat,FMIPA,Profesi Apoteker,FALSE,1,"Uang Kuliah Apoteker S1,Uang Bangunan Apoteker S1"
,,,,,,,2,Uang Kuliah Apoteker S1
,,,,,,,3,Uang Kuliah Apoteker S1
,,,,,,,4,Uang Kuliah Apoteker S1
,,,,,,,5,Uang Kuliah Apoteker S1
,,,,,,,6,Uang Kuliah Apoteker S1
,,,,,,,7,Uang Kuliah Apoteker S1
,,,,,,,8,Uang Kuliah Apoteker S1
template_14,Sistem Informasi S1 2014,2014,Flat,FMIPA,Sistem Informasi S1,FALSE,1,"Uang Kuliah Sistem Informasi S1,Uang Bangunan Sistem Informasi S1"
,,,,,,,2,Uang Kuliah Sistem Informasi S1
,,,,,,,3,Uang Kuliah Sistem Informasi S1
,,,,,,,4,Uang Kuliah Sistem Informasi S1
,,,,,,,5,Uang Kuliah Sistem Informasi S1
,,,,,,,6,Uang Kuliah Sistem Informasi S1
,,,,,,,7,Uang Kuliah Sistem Informasi S1
,,,,,,,8,Uang Kuliah Sistem Informasi S1
template_15,Teknik Informatika S1 2014,2014,Flat,FMIPA,Teknik Informatika S1,FALSE,1,"Uang Kuliah Teknik Informatika S1,Uang Bangunan Teknik Informatika S1"
,,,,,,,2,Uang Kuliah Teknik Informatika S1
,,,,,,,3,Uang Kuliah Teknik Informatika S1
,,,,,,,4,Uang Kuliah Teknik Informatika S1
,,,,,,,5,Uang Kuliah Teknik Informatika S1
,,,,,,,6,Uang Kuliah Teknik Informatika S1
,,,,,,,7,Uang Kuliah Teknik Informatika S1
,,,,,,,8,Uang Kuliah Teknik Informatika S1
