name,type,capacity,departement,location,,,,
Laminair Air Flow,,mobile,Produksi Injeksi,Ruang Timbang,,,,
Timbangan Mettler Toledo 0.1-30 Kg,IND221,0.1-30 Kg,Produksi Injeksi,Ruang Timbang,,,,
Timbangan Mettler Toledo Kecil,kecil,,Produksi Injeksi,Ruang Timbang,,,,
Laminair Air Flow,,mobile,Produksi Injeksi,Ruang Vial 1,,,,
Mesin Vial Shun Yi,,10-20 Ml,Produksi Injeksi,Ruang Vial 1,,,,
Mesin Timbang Mettler Toledo,IND221,60 Kg,Produksi Kapsul,Koridor,,,,
Alat Timbang Mettler Toledo,AL-204,210 Gr,Produksi Kapsul,Ruang IPC,,,,
Mesin Filling Kapsul Chin Yi,ACF-50,,Produksi Kapsul,Ruang Kapsul 1,,,,
Vacum Cleaner Nilfisk,alto aerozo,,Produksi Kapsul,Ruang Kapsul 1,,,,
Mesin Filling Kapsul Chin Yi,ACF-20,,Produksi Kapsul,Ruang Kapsul 2,,,,
Mesin Stripping Wutzan,,,Produksi Kapsul,Ruang Kapsul 2,,,,
Mesin Filling Capsule Kwang Dah,KDF-6,,Produksi Kapsul,Ruang Kapsul 3,,,,
Mesin Stripping Siebler,90-3,,Produksi Kapsul,Ruang Kapsul 4,,,,
Mesin Filling Blister Duan Kwei,DK-PS40a,Blister Pack,Produksi Kapsul,Ruang Kapsul 5,,,,
Counting Manual,,200 Pc,Produksi Kapsul,Ruang Kapsul 6,,,,
Mesin Counting Kwang Dah,,,Produksi Kapsul,Ruang Kapsul 6,,,,
Mesin Seal,,30 cm,Produksi Kapsul,Ruang Kapsul 6,,,,
Mesin Timbang Precisa,XB4200c,4200 Gr,Produksi Kapsul,Ruang Kapsul 6,,,,
Mesin Polish Kapsul Kwang Dah,,,Produksi Kapsul,Ruang Kapsul 7,,,,
Vacum Cleaner Nilfisk,,,Produksi Kapsul,Ruang Kapsul 7,,,,
Mesin Mixer/Granulator Minoga (Tamaru),HS-MP100,50 Kg,Produksi Kapsul,Ruang Mixing 2,,,,
Mesin Codding Alpha Jet C,,,Produksi Kemasan,Ruang Codding,,,,
Mesin Codding Alpha Jet C,,,Produksi Kemasan,Ruang Codding,,,,
Mesin Codding Image,9030,,Produksi Kemasan,Ruang Codding,,,,
